0.0 Creating a grid user entity with name = user1, and id = 35
0.0 user1:Reading 10000 Gridlets
0.0 user1: 10000 Gridlets were red
1000.0 user1: obtained 3 resource IDs in GridResourceList
1000.012 Received ResourceCharacteristics from PDSF, with id = 29 with  50.0 PEs
1000.0229999999999 Received ResourceCharacteristics from RCF, with id = 15 with  1600.0 PEs
1000.0349999999999 Received ResourceCharacteristics from KISTI, with id = 22 with  100.0 PEs
1000.0349999999999 user1%%%%%%%%%%% 1750gridlets submitted,  5408 gridlets left after initial submision
379177.474213412 user1 ALL GRIDLETS SUBMITTED
544288.9006454656 87568		29		214243.0		5000161792		3559894409		19285.4056512		284.80355271999724		214244.0		233814.20920392		1.0913454248609997
544288.9006454656 98370		15		187421.0		5000074240		3630702194		734.8776551135907		2.9155617551878095		187422.0		188159.79321686877		1.0039365347550915
544288.9006454656 98698		15		211999.0		5000079360		3617426860		3566.8281900575867		46.63252525118878		212000.0		215613.46071530879		1.0170446260156074
544288.9006454656 99036		15		209776.0		5000063488		3607838995		4363.732178207199		36.48734632876585		209776.5048011248		214176.72432566076		1.0209757500188474
544288.9006454656 99165		15		188999.0		5000116224		3602418130		4725.720391200783		2.8929345039941836		189000.0		193728.61332570476		1.025019118125422
544288.9006454656 99242		15		188970.0		5000205824		3604163367		4928.259249413586		5.049946046405239		188970.2622846592		193903.5714801192		1.0261062726791828
544288.9006454656 99433		15		148133.0		3892419072		2784324938		4043.685751006382		2.933105011965381		148134.0		152180.61885601835		1.0273172860789443
544288.9006454656 99621		15		181806.0		5000028672		3575011989		5138.543675103986		6.762354079197394		181807.0		186952.30602918318		1.028300923667313
544288.9006454656 99737		15		36820.0		1524171264		737911719		1543.8088661367865		0.6013293751966557		36821.0		38365.410195511984		1.0419437330738432
544288.9006454656 99861		15		185795.0		5000126976		3563867751		5240.971384332787		22.329277185577666		185796.0		191059.30066151835		1.0283283852263685
544288.9006454656 99965		15		186784.0		5000182272		3497241736		5273.342505847186		5.606586777605116		186785.0		192063.9490926248		1.0282621682288449
544288.9006454656 100085		15		195992.0		5000193536		3513984857		5297.622916114386		2.822187885612948		195993.0		201293.44510399998		1.027044053124346
544288.9006454656 100174		15		187540.0		5000270848		3584335126		5316.280599018387		5.745936201594304		187541.0		192863.02653521998		1.0283779362124548
544288.9006454656 100273		15		192334.0		5000266752		3575892792		5330.832511743986		10.645569921587594		192335.0		197676.47808166558		1.027771742437235
544288.9006454656 100359		15		38616.0		3159712256		1524716987		3751.548845157584		1.2307735895956284		38617.0		42369.77961874718		1.0971794706669908
544288.9006454656 100430		15		134878.0		3633705984		2605373916		4256.76165032879		2.0952991328085773		134879.0		139137.8569494616		1.0315753894191209
544288.9006454656 100501		15		190332.0		5000152576		3585307399		5358.830985850385		4.353690624790033		190332.0482451488		195695.23292162397		1.028178043193059
544288.9006454656 100572		15		15542.0		1760417792		849689203		2239.804153735186		33.31881675599652		15543.0		17816.122970491182		1.146247376342481
544288.9006454656 100643		15		191575.0		5000166912		3591387986		5369.316861400788		45.03090006392449		191575.8336036856		196990.18136515032		1.0282621646980037
544288.9006454656 100714		15		13459.0		5002190848		265841593		5373.38482625999		16.01331628159096		13459.366311371203		18848.764453912783		1.4004199022347972
544288.9006454656 100786		15		3379.0		1224473088		67764646		1615.2530726543864		53.51709384160495		3380.0		5048.770166495991		1.4937189841704117
544288.9006454656 100857		15		89713.0		2385352704		1712926684		3031.8373813647877		1.3813413471943932		89714.0		92747.21872271197		1.0338098705075236
544288.9006454656 100929		15		137645.0		4850633728		2335138400		5330.464653945586		1.8791107200086117		137646.0		142978.3437646656		1.0387395475688765
544288.9006454656 101000		15		191618.0		5000131072		3593090446		5380.864821054386		45.92404118081322		191618.87935527277		197045.66821750798		1.0283207420922946
544288.9006454656 101071		22		13230.0		5001706496		264636831		5381.772027982388		28.742330056000355		13231.0		18641.51435803839		1.4089270922861756
544288.9006454656 101143		15		49423.0		1328461312		957128233		1120.3782973048		0.7767025864013704		49424.0		50545.1549998912		1.0226844245688573
544288.9006454656 101214		15		194109.0		5000358912		3587911716		215.15490463120295		2.8813293727871496		194110.0		194328.036234004		1.001123261212735
544288.9006454656 101285		15		194588.0		5000000512		3586201878		187.34617503359914		29.550602322415216		194588.0418485048		194804.93862586084		1.0011146459735945
544288.9006454656 101356		15		54265.0		5000027648		1888452651		5.299188141598279		1.5217621207993943		54266.00000000001		54272.82095026241		1.0001256947308148
544288.9006454656 101427		15		189278.0		5000238080		3580991451		4.01119046399981		29.446194209624082		189278.04233991436		189311.499724588		1.000176763158896
544288.9006454656 101498		15		214683.0		5000001536		3583684978		4.011001228798705		2.8779479824006557		214684.0		214690.8889492112		1.0000320887872929
544288.9006454656 101569		15		185685.0		5000315904		3575927528		4.0112527231976856		5.732484044798184		185685.6183723712		185695.36210913918		1.0000524743749861
544288.9006454656 101640		15		12672.0		5002137088		262955422		4.012709670401819		0.22136433760169894		12673.0		12677.234074008004		1.000334101949657
544288.9006454656 101711		15		1727.0		660763648		36718076		0.5396109183930093		0.04037446080474183		1728.0		1728.5799853791978		1.0003356396870358
544288.9006454656 101782		15		25197.0		2468098048		1183990873		1.9854784383933293		0.9581926983955782		25198.0		25200.94367113679		1.000116821618255
544288.9006454656 101853		15		210120.0		5000198656		3586110157		4.011158924797201		2.879888125578873		210120.09498469598		210126.98603174638		1.0000327957544988
544288.9006454656 101924		15		187278.0		5000030208		3582523644		4.011024166393327		2.8770189151982777		187279.0		187285.88804308162		1.0000367795806344
